id,role,company,location_city,location_region,location_country,location_remote,type,salary,salaryMin,salaryMax,salaryCurrency,salaryPeriod,about,description,responsibilities,qualifications,benefits,tags,logoUrl,color,applicationUrl,isFeatured,experienceLevel,deadline,lat,lng,postedAt,postedBy
it-helpdesk-associate-metrobridge-analytics-001,IT Helpdesk Associate,MetroBridge Analytics,Iloilo City,Iloilo,Philippines,False,Full-time,"₱22,000 - ₱27,500 / month",22000,27500,PHP,/ month,MetroBridge Analytics is hiring a IT Helpdesk Associate to support its growing support team.,"## About the role

MetroBridge Analytics is looking for a entry IT Helpdesk Associate based in Iloilo City, Philippines. You will help the team deliver reliable, user-focused work while collaborating with stakeholders across the organization.

## What you will do

This role is ideal for someone who is organized, proactive, and comfortable learning quickly in a practical work environment.","[""Respond to customer or internal requests through approved channels."", ""Resolve issues accurately while maintaining a helpful tone."", ""Escalate complex concerns with clear context and documentation."", ""Document progress, decisions, and important updates clearly."", ""Collaborate with cross-functional teams to deliver high-quality work.""]","[""Experience with customer service, ticketing tools, or administrative support."", ""Patient, organized, and able to handle repetitive tasks accurately."", ""Ability to work independently and collaborate with a team."", ""0-1 years of relevant experience or equivalent project background.""]","[""Flexible schedule"", ""Meal allowance"", ""Equipment provided"", ""Health insurance"", ""Wellness stipend"", ""Transportation allowance"", ""Career development budget""]","[""FULL-TIME"", ""ENTRY"", ""SUPPORT"", ""ADMIN"", ""TICKETING"", ""HELPDESK""]",https://dummyimage.com/256x256/4f46e5/ffffff.png&text=MA,#4f46e5,https://jobs.example.com/apply/it-helpdesk-associate-metrobridge-analytics-001,False,Entry,2026-07-10T10:00:00Z,10.700552,122.565265,2026-05-16T03:00:00Z,seed-admin@example.com
healthcare-virtual-assistant-aster-cloud-002,Healthcare Virtual Assistant,Aster Cloud,Remote,Davao del Sur,Philippines,True,Hybrid,"₱120,000 - ₱150,000 / month",120000,150000,PHP,/ month,Aster Cloud is hiring a Healthcare Virtual Assistant to support its growing healthcare team.,"## About the role

Aster Cloud is looking for a lead Healthcare Virtual Assistant based in Remote. You will help the team deliver reliable, user-focused work while collaborating with stakeholders across the organization.

## What you will do

This role is ideal for someone who is organized, proactive, and comfortable learning quickly in a practical work environment.","[""Provide safe, organized, and patient-centered support."", ""Maintain accurate records and follow clinical documentation standards."", ""Coordinate with medical staff to ensure smooth daily operations."", ""Document progress, decisions, and important updates clearly."", ""Collaborate with cross-functional teams to deliver high-quality work.""]","[""Relevant healthcare training, certification, or clinical experience."", ""Knowledge of patient safety, confidentiality, and documentation standards."", ""Strong communication, ownership, and problem-solving skills."", ""7+ years of relevant experience or equivalent project background.""]","[""Wellness stipend"", ""Health insurance"", ""Transportation allowance"", ""Remote work allowance"", ""Career development budget""]","[""HYBRID"", ""LEAD"", ""HEALTHCARE"", ""HOSPITAL"", ""CLINICAL"", ""DOCUMENTATION""]",https://dummyimage.com/256x256/0f766e/ffffff.png&text=AC,#0f766e,https://jobs.example.com/apply/healthcare-virtual-assistant-aster-cloud-002,False,Lead,2026-08-16T10:00:00Z,7.1907,125.4553,2026-05-24T13:00:00Z,seed-admin@example.com
payroll-specialist-primeledger-003,Payroll Specialist,PrimeLedger,Toronto,ON,Canada,False,Contract,$22 - $29 / hr,22,29,USD,/ hr,PrimeLedger is hiring a Payroll Specialist to support its growing finance team.,"## About the role

PrimeLedger is looking for a entry Payroll Specialist based in Toronto, Canada. You will help the team deliver reliable, user-focused work while collaborating with stakeholders across the organization.

## What you will do

This role is ideal for someone who is organized, proactive, and comfortable learning quickly in a practical work environment.","[""Prepare financial reports, reconciliations, and supporting schedules."", ""Monitor expenses and ensure records are accurate and complete."", ""Support compliance with internal financial policies."", ""Collaborate with cross-functional teams to deliver high-quality work."", ""Identify process improvements and help implement practical solutions.""]","[""Knowledge of accounting principles, spreadsheets, and financial reporting."", ""High attention to detail and comfort with numerical data."", ""0-1 years of relevant experience or equivalent project background."", ""Strong communication, ownership, and problem-solving skills.""]","[""Career development budget"", ""Stock options"", ""Flexible schedule"", ""Health insurance""]","[""CONTRACT"", ""ENTRY"", ""FINANCE"", ""EXCEL"", ""PAYROLL"", ""REPORTING""]",https://dummyimage.com/256x256/ea580c/ffffff.png&text=P,#ea580c,https://jobs.example.com/apply/payroll-specialist-primeledger-003,False,Entry,2026-08-15T10:00:00Z,43.642075,-79.360685,2026-04-24T09:00:00Z,seed-admin@example.com
bookkeeper-visionary-design-co-004,Bookkeeper,Visionary Design Co.,Taguig,Metro Manila,Philippines,False,Contract,₱531 - ₱690 / hr,531,690,PHP,/ hr,Visionary Design Co. is hiring a Bookkeeper to support its growing finance team.,"## About the role

Visionary Design Co. is looking for a senior Bookkeeper based in Taguig, Philippines. You will help the team deliver reliable, user-focused work while collaborating with stakeholders across the organization.

## What you will do

This role is ideal for someone who is organized, proactive, and comfortable learning quickly in a practical work environment.","[""Prepare financial reports, reconciliations, and supporting schedules."", ""Monitor expenses and ensure records are accurate and complete."", ""Support compliance with internal financial policies."", ""Identify process improvements and help implement practical solutions."", ""Collaborate with cross-functional teams to deliver high-quality work.""]","[""Knowledge of accounting principles, spreadsheets, and financial reporting."", ""High attention to detail and comfort with numerical data."", ""5+ years of relevant experience or equivalent project background."", ""Ability to work independently and collaborate with a team.""]","[""Flexible schedule"", ""Paid training"", ""Performance bonuses"", ""Equipment provided"", ""13th month pay"", ""Flexible PTO""]","[""CONTRACT"", ""SENIOR"", ""FINANCE"", ""AUDIT"", ""ACCOUNTING"", ""REPORTING""]",https://dummyimage.com/256x256/be123c/ffffff.png&text=VD,#be123c,https://jobs.example.com/apply/bookkeeper-visionary-design-co-004,False,Senior,2026-08-19T10:00:00Z,14.514676,121.051958,2026-05-13T19:00:00Z,seed-admin@example.com
technical-support-specialist-blueorbit-systems-005,Technical Support Specialist,BlueOrbit Systems,Sydney,NSW,Australia,False,Hybrid,"$45,000 - $53,100 / year",45000,53100,USD,/ year,BlueOrbit Systems is hiring a Technical Support Specialist to support its growing support team.,"## About the role

BlueOrbit Systems is looking for a entry Technical Support Specialist based in Sydney, Australia. You will help the team deliver reliable, user-focused work while collaborating with stakeholders across the organization.

## What you will do

This role is ideal for someone who is organized, proactive, and comfortable learning quickly in a practical work environment.","[""Respond to customer or internal requests through approved channels."", ""Resolve issues accurately while maintaining a helpful tone."", ""Escalate complex concerns with clear context and documentation."", ""Collaborate with cross-functional teams to deliver high-quality work."", ""Identify process improvements and help implement practical solutions.""]","[""Experience with customer service, ticketing tools, or administrative support."", ""Patient, organized, and able to handle repetitive tasks accurately."", ""Strong communication, ownership, and problem-solving skills."", ""0-1 years of relevant experience or equivalent project background.""]","[""Transportation allowance"", ""13th month pay"", ""Stock options"", ""Flexible PTO"", ""Paid training""]","[""HYBRID"", ""ENTRY"", ""SUPPORT"", ""ADMIN"", ""DATA-ENTRY"", ""CUSTOMER-SUPPORT""]",https://dummyimage.com/256x256/ea580c/ffffff.png&text=BS,#ea580c,https://jobs.example.com/apply/technical-support-specialist-blueorbit-systems-005,False,Entry,2026-07-03T10:00:00Z,-33.890651,151.184645,2026-05-05T09:00:00Z,seed-admin@example.com
cloud-engineer-finaxis-partners-006,Cloud Engineer,FinAxis Partners,Bacolod,Negros Occidental,Philippines,False,Contract,₱750 - ₱975 / hr,750,975,PHP,/ hr,FinAxis Partners is hiring a Cloud Engineer to support its growing engineering team.,"## About the role

FinAxis Partners is looking for a lead Cloud Engineer based in Bacolod, Philippines. You will help the team deliver reliable, user-focused work while collaborating with stakeholders across the organization.

## What you will do

This role is ideal for someone who is organized, proactive, and comfortable learning quickly in a practical work environment.","[""Build, test, and maintain scalable application features."", ""Review code and contribute to technical planning."", ""Troubleshoot bugs and improve application performance."", ""Identify process improvements and help implement practical solutions."", ""Document progress, decisions, and important updates clearly.""]","[""Experience with modern development workflows, Git, and debugging."", ""Understanding of APIs, databases, and application architecture."", ""Ability to work independently and collaborate with a team."", ""7+ years of relevant experience or equivalent project background.""]","[""Flexible PTO"", ""Transportation allowance"", ""13th month pay"", ""Flexible schedule"", ""Equipment provided""]","[""CONTRACT"", ""LEAD"", ""ENGINEERING"", ""MOBILE"", ""AWS"", ""SUPABASE""]",https://dummyimage.com/256x256/059669/ffffff.png&text=FP,#059669,https://jobs.example.com/apply/cloud-engineer-finaxis-partners-006,False,Lead,2026-06-29T10:00:00Z,10.673895,122.977394,2026-05-13T18:00:00Z,seed-admin@example.com
accounting-associate-brightpath-careers-007,Accounting Associate,BrightPath Careers,Quezon City,Metro Manila,Philippines,False,Internship,₱137 - ₱178 / hr,137,178,PHP,/ hr,BrightPath Careers is hiring a Accounting Associate to support its growing finance team.,"## About the role

BrightPath Careers is looking for a entry Accounting Associate based in Quezon City, Philippines. You will help the team deliver reliable, user-focused work while collaborating with stakeholders across the organization.

## What you will do

This role is ideal for someone who is organized, proactive, and comfortable learning quickly in a practical work environment.","[""Prepare financial reports, reconciliations, and supporting schedules."", ""Monitor expenses and ensure records are accurate and complete."", ""Support compliance with internal financial policies."", ""Identify process improvements and help implement practical solutions."", ""Document progress, decisions, and important updates clearly.""]","[""Knowledge of accounting principles, spreadsheets, and financial reporting."", ""High attention to detail and comfort with numerical data."", ""Ability to work independently and collaborate with a team."", ""0-1 years of relevant experience or equivalent project background.""]","[""Performance bonuses"", ""HMO coverage"", ""Paid training"", ""Flexible PTO"", ""Retirement plan""]","[""INTERNSHIP"", ""ENTRY"", ""FINANCE"", ""AUDIT"", ""ACCOUNTING"", ""EXCEL""]",https://dummyimage.com/256x256/be123c/ffffff.png&text=BC,#be123c,https://jobs.example.com/apply/accounting-associate-brightpath-careers-007,False,Entry,2026-08-23T10:00:00Z,14.665952,121.020029,2026-04-29T09:00:00Z,seed-admin@example.com
it-helpdesk-associate-lumenstack-008,IT Helpdesk Associate,LumenStack,Iloilo City,Iloilo,Philippines,False,Internship,₱187 - ₱243 / hr,187,243,PHP,/ hr,LumenStack is hiring a IT Helpdesk Associate to support its growing support team.,"## About the role

LumenStack is looking for a junior IT Helpdesk Associate based in Iloilo City, Philippines. You will help the team deliver reliable, user-focused work while collaborating with stakeholders across the organization.

## What you will do

This role is ideal for someone who is organized, proactive, and comfortable learning quickly in a practical work environment.","[""Respond to customer or internal requests through approved channels."", ""Resolve issues accurately while maintaining a helpful tone."", ""Escalate complex concerns with clear context and documentation."", ""Document progress, decisions, and important updates clearly."", ""Collaborate with cross-functional teams to deliver high-quality work.""]","[""Experience with customer service, ticketing tools, or administrative support."", ""Patient, organized, and able to handle repetitive tasks accurately."", ""1+ years of relevant experience or equivalent project background."", ""Ability to work independently and collaborate with a team.""]","[""Equipment provided"", ""Flexible schedule"", ""Wellness stipend"", ""Remote work allowance""]","[""INTERNSHIP"", ""JUNIOR"", ""SUPPORT"", ""TICKETING"", ""HELPDESK"", ""ADMIN""]",https://dummyimage.com/256x256/0f766e/ffffff.png&text=L,#0f766e,https://jobs.example.com/apply/it-helpdesk-associate-lumenstack-008,False,Junior,2026-08-09T10:00:00Z,10.693143,122.550069,2026-05-06T22:00:00Z,seed-admin@example.com
design-systems-specialist-cloudnest-technologies-009,Design Systems Specialist,CloudNest Technologies,Cebu City,Cebu,Philippines,False,Contract,₱750 - ₱975 / hr,750,975,PHP,/ hr,CloudNest Technologies is hiring a Design Systems Specialist to support its growing design team.,"## About the role

CloudNest Technologies is looking for a lead Design Systems Specialist based in Cebu City, Philippines. You will help the team deliver reliable, user-focused work while collaborating with stakeholders across the organization.

## What you will do

This role is ideal for someone who is organized, proactive, and comfortable learning quickly in a practical work environment.","[""Create user flows, wireframes, prototypes, and polished interface designs."", ""Conduct usability reviews and turn feedback into design improvements."", ""Maintain consistent design patterns across product experiences."", ""Document progress, decisions, and important updates clearly."", ""Identify process improvements and help implement practical solutions.""]","[""Strong portfolio showing product thinking and visual design quality."", ""Experience using Figma or similar design tools."", ""Strong communication, ownership, and problem-solving skills."", ""Ability to work independently and collaborate with a team.""]","[""Flexible schedule"", ""Transportation allowance"", ""Paid training"", ""13th month pay"", ""Wellness stipend"", ""Stock options""]","[""CONTRACT"", ""LEAD"", ""DESIGN"", ""RESEARCH"", ""UI"", ""PROTOTYPING""]",https://dummyimage.com/256x256/0f766e/ffffff.png&text=CT,#0f766e,https://jobs.example.com/apply/design-systems-specialist-cloudnest-technologies-009,False,Lead,2026-06-18T10:00:00Z,10.343681,123.920171,2026-05-05T15:00:00Z,seed-admin@example.com
operations-manager-growthgrid-media-010,Operations Manager,GrowthGrid Media,Sydney,NSW,Australia,False,Full-time,"$95,000 - $112,100 / year",95000,112100,USD,/ year,GrowthGrid Media is hiring a Operations Manager to support its growing business team.,"## About the role

GrowthGrid Media is looking for a mid Operations Manager based in Sydney, Australia. You will help the team deliver reliable, user-focused work while collaborating with stakeholders across the organization.

## What you will do

This role is ideal for someone who is organized, proactive, and comfortable learning quickly in a practical work environment.","[""Gather requirements and coordinate timelines with stakeholders."", ""Track operational metrics and prepare reports for leadership."", ""Support planning, execution, and follow-through of business initiatives."", ""Collaborate with cross-functional teams to deliver high-quality work."", ""Identify process improvements and help implement practical solutions.""]","[""Experience coordinating projects, stakeholders, or operational workflows."", ""Comfortable preparing reports and presenting recommendations."", ""Ability to work independently and collaborate with a team."", ""Strong communication, ownership, and problem-solving skills.""]","[""Flexible schedule"", ""Health insurance"", ""Transportation allowance"", ""Paid training""]","[""FULL-TIME"", ""MID"", ""BUSINESS"", ""CRM"", ""COMMUNICATION"", ""PRODUCT""]",https://dummyimage.com/256x256/2563eb/ffffff.png&text=GM,#2563eb,https://jobs.example.com/apply/operations-manager-growthgrid-media-010,True,Mid,2026-06-13T10:00:00Z,-33.853459,151.220703,2026-05-01T02:00:00Z,seed-admin@example.com
